[2026-07-27 06:37:30,571] Using g1_smplx body model
[2026-07-27 06:42:50,755] static_cam - init_opt |   47/400 | keypoint_tracking:   2.497 | human_smoothness:   0.114 | human_pose_reg:   0.059 | human_foot_contact:   0.037 | human_global_init_reg:   0.019 | verts_tracking:   0.130 | obj_smoothness:   0.335 | depth_pointcloud:   0.707
[2026-07-27 06:42:51,137] static_cam - init_opt |   48/400 | keypoint_tracking:   2.493 | human_smoothness:   0.114 | human_pose_reg:   0.060 | human_foot_contact:   0.037 | human_global_init_reg:   0.019 | verts_tracking:   0.129 | obj_smoothness:   0.333 | depth_pointcloud:   0.697
[2026-07-27 06:42:51,522] static_cam - init_opt |   49/400 | keypoint_tracking:   2.490 | human_smoothness:   0.113 | human_pose_reg:   0.061 | human_foot_contact:   0.037 | human_global_init_reg:   0.019 | verts_tracking:   0.131 | obj_smoothness:   0.334 | depth_pointcloud:   0.687
[2026-07-27 06:42:51,910] static_cam - init_opt |   50/400 | keypoint_tracking:   2.486 | human_smoothness:   0.113 | human_pose_reg:   0.062 | human_foot_contact:   0.037 | human_global_init_reg:   0.019 | verts_tracking:   0.132 | obj_smoothness:   0.334 | depth_pointcloud:   0.677
[2026-07-27 06:42:52,296] static_cam - init_opt |   51/400 | keypoint_tracking:   2.483 | human_smoothness:   0.113 | human_pose_reg:   0.063 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.133 | obj_smoothness:   0.332 | depth_pointcloud:   0.668
[2026-07-27 06:42:52,685] static_cam - init_opt |   52/400 | keypoint_tracking:   2.481 | human_smoothness:   0.113 | human_pose_reg:   0.065 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.135 | obj_smoothness:   0.334 | depth_pointcloud:   0.660
[2026-07-27 06:42:53,085] static_cam - init_opt |   53/400 | keypoint_tracking:   2.478 | human_smoothness:   0.114 | human_pose_reg:   0.066 | human_foot_contact:   0.038 | human_global_init_reg:   0.018 | verts_tracking:   0.135 | obj_smoothness:   0.332 | depth_pointcloud:   0.651
[2026-07-27 06:42:53,478] static_cam - init_opt |   54/400 | keypoint_tracking:   2.475 | human_smoothness:   0.114 | human_pose_reg:   0.067 | human_foot_contact:   0.038 | human_global_init_reg:   0.018 | verts_tracking:   0.136 | obj_smoothness:   0.333 | depth_pointcloud:   0.644
[2026-07-27 06:42:53,864] static_cam - init_opt |   55/400 | keypoint_tracking:   2.472 | human_smoothness:   0.114 | human_pose_reg:   0.068 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.137 | obj_smoothness:   0.332 | depth_pointcloud:   0.636
[2026-07-27 06:42:54,248] static_cam - init_opt |   56/400 | keypoint_tracking:   2.469 | human_smoothness:   0.114 | human_pose_reg:   0.069 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.138 | obj_smoothness:   0.333 | depth_pointcloud:   0.629
[2026-07-27 06:42:54,634] static_cam - init_opt |   57/400 | keypoint_tracking:   2.466 | human_smoothness:   0.114 | human_pose_reg:   0.070 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.139 | obj_smoothness:   0.331 | depth_pointcloud:   0.622
[2026-07-27 06:42:55,020] static_cam - init_opt |   58/400 | keypoint_tracking:   2.463 | human_smoothness:   0.114 | human_pose_reg:   0.071 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.140 | obj_smoothness:   0.332 | depth_pointcloud:   0.616
[2026-07-27 06:42:55,413] static_cam - init_opt |   59/400 | keypoint_tracking:   2.460 | human_smoothness:   0.114 | human_pose_reg:   0.072 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.140 | obj_smoothness:   0.331 | depth_pointcloud:   0.609
[2026-07-27 06:42:55,810] static_cam - init_opt |   60/400 | keypoint_tracking:   2.457 | human_smoothness:   0.114 | human_pose_reg:   0.073 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.142 | obj_smoothness:   0.332 | depth_pointcloud:   0.603
[2026-07-27 06:42:56,203] static_cam - init_opt |   61/400 | keypoint_tracking:   2.454 | human_smoothness:   0.114 | human_pose_reg:   0.074 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.143 | obj_smoothness:   0.331 | depth_pointcloud:   0.598
[2026-07-27 06:42:56,590] static_cam - init_opt |   62/400 | keypoint_tracking:   2.451 | human_smoothness:   0.114 | human_pose_reg:   0.075 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.144 | obj_smoothness:   0.332 | depth_pointcloud:   0.592
[2026-07-27 06:42:56,972] static_cam - init_opt |   63/400 | keypoint_tracking:   2.448 | human_smoothness:   0.114 | human_pose_reg:   0.076 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.144 | obj_smoothness:   0.332 | depth_pointcloud:   0.587
[2026-07-27 06:42:57,357] static_cam - init_opt |   64/400 | keypoint_tracking:   2.445 | human_smoothness:   0.114 | human_pose_reg:   0.077 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.146 | obj_smoothness:   0.332 | depth_pointcloud:   0.582
[2026-07-27 06:42:57,742] static_cam - init_opt |   65/400 | keypoint_tracking:   2.442 | human_smoothness:   0.114 | human_pose_reg:   0.078 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.147 | obj_smoothness:   0.333 | depth_pointcloud:   0.578
[2026-07-27 06:42:58,133] static_cam - init_opt |   66/400 | keypoint_tracking:   2.439 | human_smoothness:   0.114 | human_pose_reg:   0.079 | human_foot_contact:   0.037 | human_global_init_reg:   0.018 | verts_tracking:   0.147 | obj_smoothness:   0.333 | depth_pointcloud:   0.573
[2026-07-27 06:42:58,529] static_cam - init_opt |   67/400 | keypoint_tracking:   2.436 | human_smoothness:   0.114 | human_pose_reg:   0.080 | human_foot_contact:   0.036 | human_global_init_reg:   0.018 | verts_tracking:   0.148 | obj_smoothness:   0.332 | depth_pointcloud:   0.569
